filename,threshold,IOU,AP
Andrena_bicolor_42078638_1,0.1,63.08,62.59
Bombus_lapidarius_11415085_1,0.1,77.26,76.96
Osmia_bicolor_27561083_1,0.1,74.35,77.8
Bombus_pratorum_45359905_1,0.1,71.65,73.7
Osmia_cornuta_40122155_1,0.1,48.62,50.33
Andrena_cineraria_25233849_2,0.1,72.21,71.04
Dasypoda_hirtipes_52498715_1,0.1,28.2,28.2
Osmia_bicornis_25898050_2,0.1,82.96,85.51
Anthophora_plumipes_53267_2,0.1,59.58,58.93
Anthophora_plumipes_19552427_2,0.1,60.78,59.62
Bombus_cryptarum_78899618_1,0.1,76.9,76.8
Andrena_flavipes_22781308_1,0.1,62.53,61.34
Bombus_sylvarum_36920709_1,0.1,82.39,84.38
Anthophora_plumipes_12045004_1,0.1,36.15,35.91
Andrena_bicolor_66007245_1,0.1,0.56,13.92
Andrena_vaga_40177902_2,0.1,49.7,49.7
Dasypoda_hirtipes_50866693_1,0.1,74.18,74.07
Osmia_bicolor_38799279_2,0.1,52.75,64.04
Osmia_bicornis_26708422_1,0.1,77.61,76.98
Sphecodes_albilabris_14836047_3,0.1,70.16,70.06
Bombus_cryptarum_80153097_3,0.1,63.48,62.49
Xylocopa_violacea_45468782_1,0.1,72.13,72.11
Bombus_pratorum_21447212_1,0.1,18.19,17.16
Anthidium_manicatum_15139706_1,0.1,62.52,60.85
Bombus_hypnorum_25075981_2,0.1,78.78,79.06
Osmia_cornuta_27984092_1,0.1,68.52,76.35
Bombus_hypnorum_24610615_1,0.1,77.7,77.35
Osmia_cornuta_21385026_2,0.1,44.55,43.66
Bombus_hortorum_46868324_1,0.1,78.65,78.87
Bombus_hortorum_45249504_2,0.1,69.71,69.66
Bombus_lapidarius_21671909_2,0.1,78.75,78.04
Bombus_sylvarum_61128915_1,0.1,38.26,37.88
Andrena_flavipes_41552632_1,0.1,76.12,75.53
Osmia_bicornis_21771563_1,0.1,73.64,73.46
Halictus_scabiosae_31672518_1,0.1,69.37,69.36
Andrena_cineraria_22820892_1,0.1,72.73,73.94
Sphecodes_albilabris_65351521_1,0.1,76.49,76.83
Bombus_lapidarius_25615028_3,0.1,0.0,4.31
Halictus_scabiosae_25164647_1,0.1,73.65,72.82
Bombus_pratorum_21050548_1,0.1,84.54,88.07
Anthidium_manicatum_6982928_1,0.1,63.72,63.69
Andrena_haemorrhoa_5525722_1,0.1,66.99,66.43
Bombus_terrestris_78063362_3,0.1,83.42,88.94
Bombus_hypnorum_13258468_8,0.1,65.35,64.72
Bombus_sylvarum_79899505_2,0.1,30.41,30.38
